_source_csv,index,img_name,question,caption,gt_answer,qwen_answer_withoutfilter,location,modality,content_type,bertscore_f1_withoutfilter,sbert_f1_withoutfilter,nli_entail_mean_withoutfilter,nli_contra_mean_withoutfilter,alignment_score
/content/qwen7b_oneword_inaccurate_test.csv,1,xmlab1/source.jpg,Which part of the body does this image belong to?,"""CT scan of the thorax showing a lesion with irregular borders and surrounding edema.""",Abdomen,Thorax,Abdomen,MRI,Position,0.82075083,0.3670581,0.56083226,0.2224941,2
/content/qwen7b_oneword_noisy_test.csv,2,xmlab1/source.jpg,What is the mr weighting in this image?,A T2 weighted MIR scan in teh abdome showing leson wth irrregular borders and surronding edema.,T2,T2 weighted,Abdomen,MRI,Modality,0.89781606,0.64161783,0.42126662,0.055073503,5
/content/qwen7b_oneword_missing_test.csv,3,xmlab1/source.jpg,Does the picture contain liver?,,Yes,"Yes, it contains liver.",Abdomen,MRI,Organ,0.84618765,0.092050426,0.46834484,0.003977551,4
/content/qwen7b_oneword_irrelevant_test.csv,5,xmlab1/source.jpg,Does the picture contain spleen?,"A cozy café with its windows wide open, showcasing a vibrant cityscape under a bright blue sky.",No,No,Abdomen,MRI,Organ,0.9999999,0.9999999,0.9537381,0.0040999814,3
/content/qwen7b_oneword_irrelevant_test.csv,9,xmlab100/source.jpg,What is the main organ in the image?,A vibrant flower garden blooms under the warm summer sun.,"Liver, Heart, Spleen, Lung",Liver,Lung,CT,Organ,0.8125763,0.65310323,0.45490223,0.028686922,3
/content/qwen7b_oneword_original_test.csv,10,xmlab100/source.jpg,What is the largest organ in the picture?,"The largest organ in the image is the liver, as indicated by its prominent size and location within the thoracic cavity.",Liver,Liver,Lung,CT,Size,0.99999994,0.9999997,0.95123106,0.013547519,6
/content/qwen7b_oneword_inaccurate_test.csv,13,xmlab100/source.jpg,Does the picture contain heart?,"""MR scan of the abdominal region showing the liver and surrounding structures.""",Yes,"No, it does not.",Lung,CT,Organ,0.8119194,0.18156876,0.0016267304,0.99661684,2
/content/qwen7b_oneword_noisy_test.csv,21,xmlab101/source.jpg,Does the picture contain heart?,Axil compu ted tomograpy CT scnan o f thoracic reagin demnstratng t he lung parrenchyam wth no visi ble hert sturctures.,No,No,Lung,CT,Organ,0.99999994,0.9999999,0.9537381,0.0040999814,5
/content/qwen7b_oneword_severely_inaccurate_test.csv,27,xmlab104/source.jpg,Does the picture contain lung?,"""CT scan of the abdomen showing the thoracic cavity with visible liver structures.""",Yes,"No, it does not.",Abdomen,CT,Organ,0.8119194,0.18156877,0.0016267285,0.99661684,1
/content/qwen7b_oneword_inaccurate_test.csv,28,xmlab104/source.jpg,Does the picture contain heart?,"""Axial magnetic resonance imaging (MRI) scan of the abdomen showing the liver, spleen, and surrounding abdominal structures.""",No,"No, it does not.",Abdomen,CT,Organ,0.8154636,0.17489071,0.6348161,0.006466076,2
/content/qwen7b_oneword_missing_test.csv,36,xmlab107/source.jpg,Does the picture contain liver?,,No,"No, it does not.",Lung,CT,Organ,0.8154636,0.17489071,0.6348161,0.006466076,4
/content/qwen7b_oneword_original_test.csv,38,xmlab107/source.jpg,Does the picture contain heart?,CT scan of the chest showing bilateral lung fields with no apparent masses or abnormalities. The heart is visible in the central portion of the image.,Yes,"Yes, it contains heart.",Lung,CT,Organ,0.850332,0.18719013,0.4767536,0.0055021513,6
/content/qwen7b_oneword_noisy_test.csv,40,xmlab107/source.jpg,Is the lung healthy?,Ct scann of thw chst shwing bilaln lung felds wth no vble abnormltyz.,Yes,"Yes, the lung appears healthy.",Lung,CT,Abnormality,0.85341346,0.11603787,0.479033,0.0016091957,5
/content/qwen7b_oneword_noisy_test.csv,46,xmlab108/source.jpg,Does the picture contain liver?,"Ct scan oh tharacic rieon showinh he lung, heart nd meadiatunm wihout teh preseneh f hepah.",No,"No, it does not.",Lung,CT,Organ,0.8154635,0.17489071,0.63481593,0.006466049,5
/content/qwen7b_oneword_noisy_test.csv,53,xmlab109/source.jpg,What modality is used to take this image?,"CT scan o'lung showin' a rund, welly defined massa wit' a cen'tral area o'low at'tenuation', surroounded b'y th'in rim o'hig'h attenuation'.",CT,CT scan,Lung,CT,Modality,0.8667414,0.57302356,0.5452801,0.010883029,5
/content/qwen7b_oneword_noisy_test.csv,54,xmlab109/source.jpg,Which part of the body does this image belong to?,ctscnanfthcstchshowingtordacayithvisiblflungfelldshertandmediastimnum,Chest,Thorax,Lung,CT,Position,0.8608651,0.5296207,0.31723982,0.40491495,5
/content/qwen7b_oneword_missing_test.csv,55,xmlab109/source.jpg,What is the main organ in the image?,,"Lung, Heart",Heart,Lung,CT,Organ,0.87297714,0.6231087,0.5907122,0.05246073,4
/content/qwen7b_oneword_inaccurate_test.csv,60,xmlab109/source.jpg,What diseases are included in the picture?,"""MR scan of the brain showing an abnormality in the liver, consistent with a diagnosis of liver cancer.""",Lung Cancer,Liver cancer,Lung,CT,Abnormality,0.9839301,0.5814145,0.22484156,0.70303047,2
/content/qwen7b_oneword_original_test.csv,66,xmlab11/source.jpg,What is the mr weighting in this image?,T2-weighted MRI scan of the abdomen showing the liver and surrounding structures.,T2,T2-weighted MRI,Abdomen,MRI,Modality,0.8720163,0.44387856,0.39129525,0.07161264,6
/content/qwen7b_oneword_irrelevant_test.csv,74,xmlab110/source.jpg,What is the main organ in the image?,"A cozy fireplace crackles with warmth, casting a golden glow over the softly lit room.","Lung, Heart",Heart,Lung,CT,Organ,0.8729771,0.6231086,0.5907122,0.05246073,3
/content/qwen7b_oneword_missing_test.csv,77,xmlab110/source.jpg,Does the picture contain lung?,,Yes,"Yes, it contains lungs.",Lung,CT,Organ,0.84662,0.10730337,0.47403014,0.0033862665,4
/content/qwen7b_oneword_irrelevant_test.csv,89,xmlab111/source.jpg,Does the picture contain heart?,A golden retriever puppy with floppy ears plays fetch in a sunny meadow.,No,No,Lung,CT,Organ,0.9999999,0.9999999,0.95373815,0.0040999623,3
/content/qwen7b_oneword_severely_inaccurate_test.csv,94,xmlab113/source.jpg,What is the main organ in the image?,"""X-ray image of the liver showing the main organ, the liver, with visible structures such as the bile ducts and portal veins.""",Lung,Liver,Lung,CT,Organ,0.99905384,0.459922,0.13847083,0.802631,1
/content/qwen7b_oneword_original_test.csv,105,xmlab114/source.jpg,What is the largest organ in the picture?,"The largest organ in the image is the lung, as depicted in a CT scan of the chest.",Lung,Lung,Lung,CT,Size,1.0,0.9999997,0.9397021,0.018494472,6
/content/qwen7b_oneword_noisy_test.csv,117,xmlab115/source.jpg,Does the picture contain lung?,CT skan of thoroacic regiun shoing thlungs wth vissble markinngs nd strcutures tchipul of this modyality.,Yes,"Yes, it contains lungs.",Lung,CT,Organ,0.84662,0.10730346,0.4740301,0.0033862535,5
/content/qwen7b_oneword_missing_test.csv,125,xmlab116/source.jpg,What is the largest organ in the picture?,,Lung,Lungs,Lung,CT,Size,0.92026067,0.922527,0.9409836,0.020794958,4
/content/qwen7b_oneword_irrelevant_test.csv,126,xmlab116/source.jpg,Does the picture contain liver?,A lone seagull perched on a barren tree branch against a vivid sunset sky.,No,No,Lung,CT,Organ,0.9999999,0.9999999,0.95373815,0.0040999623,3
/content/qwen7b_oneword_noisy_test.csv,129,xmlab116/source.jpg,"Which is the biggest in this image,lung,liver or heart?","The imag3 is tC sscn o3f th3 c3sht, dlsplzng t3e l3ung sttrctu2rs. T3e lu5g ap3ars t3 be t3 e g7rst sttuctu3r vissibl3 n t3h img8.

(Note: This example includes several",Lung,Lung is biggest.,Lung,CT,Size,0.88136333,0.73534995,0.4875555,0.007442612,5
/content/qwen7b_oneword_missing_test.csv,133,xmlab117/source.jpg,What is the largest organ in the picture?,,Heart,Lungs,Lung,CT,Size,0.9193356,0.40464622,0.10734041,0.8413609,4
/content/qwen7b_oneword_irrelevant_test.csv,137,xmlab117/source.jpg,"Which is the biggest in this image,lung,liver or heart?",A vibrant bouquet of flowers in full bloom graces the windowsill.,Heart,Lung,Lung,CT,Size,0.9995571,0.38710675,0.16895458,0.7624221,3
/content/qwen7b_oneword_irrelevant_test.csv,145,xmlab12/source.jpg,Which part of the body does this image belong to?,"""An unexpected encounter on a tranquil hillside.""",Abdomen,Abdomen,Abdomen,MRI,Position,1.0,1.0000004,0.9031947,0.03175665,3
/content/qwen7b_oneword_severely_inaccurate_test.csv,148,xmlab12/source.jpg,Does the picture contain kidney?,"""Coronal CT scan of the chest displaying a well-defined, hypointense lesion in the left lung with surrounding consolidation.""",No,"No, it does not.",Abdomen,MRI,Organ,0.8154636,0.17489071,0.63481593,0.006466049,1
/content/qwen7b_oneword_inaccurate_test.csv,153,xmlab120/source.jpg,Are there abnormalities in this image?,"""X-ray of the thoracic region shows normal bony structures without any visible abnormalities in the lung fields.""",Yes,No abnormalities detected.,Lung,X-Ray,Abnormality,0.8368514,0.017215151,0.069101036,0.39085558,2
/content/qwen7b_oneword_missing_test.csv,158,xmlab122/source.jpg,What modality is used to take this image?,,X-Ray,X-ray,Lung,X-Ray,Modality,0.9325224,1.0000001,0.940446,0.017602349,4
/content/qwen7b_oneword_original_test.csv,164,xmlab122/source.jpg,Is the lung healthy?,"The X-ray image of the lung shows an abnormality, indicating that the lung is not healthy.",No,"No, it's not healthy.",Lung,X-Ray,Abnormality,0.8381817,0.21205673,0.47872066,0.0026237667,6
/content/qwen7b_oneword_inaccurate_test.csv,165,xmlab123/source.jpg,What modality is used to take this image?,"""An MRI scan displaying the thoracic cavity with clear visualization of the ribs, clavicles, and lung fields.""",X-Ray,X-ray,Lung,X-Ray,Modality,0.9325224,1.0000001,0.9404459,0.017602403,2
/content/qwen7b_oneword_original_test.csv,171,xmlab123/source.jpg,Is the lung healthy?,"The image is an X-ray of the chest, showing an abnormality in the lung. The lung field appears to have an area of opacity, indicating the presence of an abnormality.",No,"No, it's not healthy.",Lung,X-Ray,Abnormality,0.8381817,0.21205673,0.47872066,0.0026237667,6
/content/qwen7b_oneword_noisy_test.csv,186,xmlab126/source.jpg,Does the lung look healthy?,Thexrayimgotefthlungshowsanabnormaltyindicatingthatlungenoappearhealthy,No,"No, it does not look healthy.",Lung,X-Ray,Abnormality,0.8361008,0.16765241,0.4771216,0.0023179897,5
/content/qwen7b_oneword_severely_inaccurate_test.csv,201,xmlab133/source.jpg,What modality is used to take this image?,"""A CT scan image showing the thoracic cavity, including the lungs, heart, and ribs.""",X-Ray,CT scan,Lung,X-Ray,Modality,0.8489911,0.4470264,0.2234113,0.6268116,1
/content/qwen7b_oneword_missing_test.csv,207,xmlab133/source.jpg,Is the lung healthy?,,No,"No, it's not healthy.",Lung,X-Ray,Abnormality,0.83818173,0.21205673,0.47872066,0.0026237664,4
/content/qwen7b_oneword_inaccurate_test.csv,213,xmlab134/source.jpg,What diseases are included in the picture?,"""X-ray image of the thoracic region showing a pneumothorax abnormality.""",Cardiomega,Pneumothorax,Lung,X-Ray,Abnormality,0.78420043,0.27905804,0.03921788,0.9353161,2
/content/qwen7b_oneword_noisy_test.csv,215,xmlab134/source.jpg,"Which organ is abnormal, heart or lung?","Th3 x-ray im4ge sh0ws n3rmalit1es in th3 hrt, wth clr vi5lshion o7f th3 krdic silh0uett3 nd sr0und1ng stnctures.",Heart,Lung,Lung,X-Ray,Abnormality,0.9995571,0.38710675,0.16895458,0.7624221,5
/content/qwen7b_oneword_noisy_test.csv,223,xmlab136/source.jpg,"Which organ is abnormal, heart or lung?","The imagee is an xrayr of throracic regoinn, shouing n anabormalitie inn th elungg.",Lung,Lung,Lung,X-Ray,Abnormality,1.0000001,0.9999997,0.9397021,0.018494472,5
/content/qwen7b_oneword_irrelevant_test.csv,224,xmlab137/source.jpg,What modality is used to take this image?,"""Amidst a vibrant cityscape, a lone bird takes flight, symbolizing freedom and escape.""",X-Ray,X-ray,Lung,X-Ray,Modality,0.9325224,1.0000001,0.940446,0.017602349,3
/content/qwen7b_oneword_inaccurate_test.csv,232,xmlab138/source.jpg,What modality is used to take this image?,"""An MRI scan of the thoracic cavity, including the lungs, heart, and diaphragm.""",X-Ray,MRI scan,Lung,X-Ray,Modality,0.84824723,0.4283794,0.09505218,0.81823516,2
/content/qwen7b_oneword_original_test.csv,235,xmlab138/source.jpg,What diseases are included in the picture?,"""X-ray image of the thoracic region showing cardiomegaly.""",Cardiomegaly,Cardiomegaly,Lung,X-Ray,Abnormality,1.0000001,1.0000001,0.84881294,0.07675432,6
/content/qwen7b_oneword_irrelevant_test.csv,236,xmlab138/source.jpg,Where is/are the abnormality located?,"""An old tree stands tall amidst the bustling cityscape.""",Center,Right lung base,Lung,X-Ray,Position,0.8590456,0.33860832,0.14087543,0.61595404,3
/content/qwen7b_oneword_original_test.csv,242,xmlab14/source.jpg,How many kidneys are there in this image?,The MRI scan of the abdomen shows two kidneys.,2,Two kidneys,Abdomen,MRI,Quantity,0.8749278,0.2710504,0.47740418,0.06621377,6
/content/qwen7b_oneword_noisy_test.csv,244,xmlab14/source.jpg,Does the picture contain liver?,MRR scan oF tHe abdOmen shoWing thE livEr wItH sOrRounding strUctuRes.,Yes,"Yes, it contains liver.",Abdomen,MRI,Organ,0.84618753,0.0920506,0.46834484,0.003977551,5
/content/qwen7b_oneword_noisy_test.csv,249,xmlab140/source.jpg,What is the largest organ in the picture?,"The laesr organ in tne pichture nseas ths lungn, neaingt y bby the ray modaliy nd lhe locatin metaeata.",Lung,Lungs,Lung,X-Ray,Size,0.92026067,0.922527,0.9409836,0.020794958,5
/content/qwen7b_oneword_noisy_test.csv,250,xmlab140/source.jpg,What diseases are included in the picture?,"""Rx view of the chest area demonstrating evidence of spread within the pulmonary substance.""",Infiltration,Pulmonary diseases,Lung,X-Ray,Abnormality,0.8354473,0.0981557,0.26246065,0.38239577,5
/content/qwen7b_oneword_severely_inaccurate_test.csv,255,xmlab141/source.jpg,What modality is used to take this image?,"""A CT scan of the thoracic cavity with clear visualization of the ribs, clavicles, and diaphragm.""",X-Ray,CT scan,Lung,X-Ray,Modality,0.8489911,0.4470264,0.22341163,0.62681127,1
/content/qwen7b_oneword_irrelevant_test.csv,260,xmlab141/source.jpg,Are there abnormalities in this image?,"A vibrant flock of parakeets takes flight from their colorful cage, spreading wings adorned with iridescent hues.",Yes,No abnormalities detected.,Lung,X-Ray,Abnormality,0.83685136,0.017215151,0.069101036,0.39085558,3
/content/qwen7b_oneword_irrelevant_test.csv,269,xmlab143/source.jpg,Is the lung healthy?,A vibrant garden blooms with colorful flowers under a clear blue sky.,No,"No, it's not healthy.",Lung,X-Ray,Abnormality,0.83818173,0.21205673,0.47872066,0.002623775,3
/content/qwen7b_oneword_irrelevant_test.csv,271,xmlab144/source.jpg,What modality is used to take this image?,"""A mysterious forest pathway leads through dense trees towards an unknown destination.""",X-Ray,X-ray,Lung,X-Ray,Modality,0.9325224,1.0000001,0.940446,0.017602349,3
/content/qwen7b_oneword_inaccurate_test.csv,273,xmlab144/source.jpg,Are there abnormalities in this image?,"""The image is an MRI of the thoracic region, showing the bony structures of the ribs, clavicles, and spine. There are multiple metallic foreign objects visible, likely surgical clips or staples, scattered across the thoracic cavity. The lungs appear clear with no visible masses or consolidations. The heart and diaphragm are also visible without any apparent abnormalities.""",Yes,No abnormalities detected.,Lung,X-Ray,Abnormality,0.8368514,0.017215213,0.069101036,0.39085558,2
/content/qwen7b_oneword_missing_test.csv,275,xmlab144/source.jpg,What diseases are included in the picture?,,Nodule,Pneumothorax,Lung,X-Ray,Abnormality,0.7708453,0.39817333,0.08024247,0.85767525,4
/content/qwen7b_oneword_inaccurate_test.csv,277,xmlab144/source.jpg,Is the lung healthy?,"""The X-ray image of the chest shows no abnormalities in the lung, indicating that the lung is healthy.""",No,"Yes, the lung is healthy.",Lung,X-Ray,Abnormality,0.85847497,0.11839004,0.0015363211,0.9842582,2
/content/qwen7b_oneword_noisy_test.csv,280,xmlab145/source.jpg,Which part of the body does this image belong to?,"Xray of chest reveals rib bones, collarbones & diahragam within the thorax.",Chest,Chest,Lung,X-Ray,Position,0.9999999,1.0000007,0.9350662,0.016367652,5
/content/qwen7b_oneword_noisy_test.csv,281,xmlab145/source.jpg,What is the largest organ in the picture?,"The larges organ in teh pictrur is the lung, as evinced by teh exstensivt nd detailevd visuallization o teh thotacic cavitry.",Lung,Lung,Lung,X-Ray,Size,1.0000001,0.9999997,0.9397021,0.018494472,5
/content/qwen7b_oneword_original_test.csv,284,xmlab145/source.jpg,Is the lung healthy?,"The X-ray image of the lung shows an abnormality, indicating that the lung is not healthy.",No,"No, it's not healthy.",Lung,X-Ray,Abnormality,0.8381817,0.21205673,0.47872066,0.002623775,6
/content/qwen7b_oneword_noisy_test.csv,285,xmlab145/source.jpg,Are there abnormalities in this image?,Ths img x-ray thoacic rgn shwng bny stuctrs rib nd spn. Vblrbrltys n lgn flds wth rrbs f rpprt d ptssnt cnsdttion tndctng pssble prcholgcl chgs.,Yes,"Yes, there are abnormalities.",Lung,X-Ray,Abnormality,0.8619443,0.2192531,0.48148003,0.002463749,5
/content/qwen7b_oneword_irrelevant_test.csv,294,xmlab146/source.jpg,Are there abnormalities in this image?,A cat with a hat on is exploring a sunflower-filled garden.,Yes,No abnormalities detected.,Lung,X-Ray,Abnormality,0.83685136,0.017215213,0.069100946,0.39085537,3
/content/qwen7b_oneword_original_test.csv,302,xmlab149/source.jpg,Is the lung healthy?,"The X-ray image shows an abnormality in the lung, indicating an unhealthy condition.",No,"No, it's not healthy.",Lung,X-Ray,Abnormality,0.8381817,0.21205671,0.47872066,0.002623775,6
/content/qwen7b_oneword_irrelevant_test.csv,306,xmlab15/source.jpg,What is the mr weighting in this image?,"""Exploring the vast landscapes of the world, where each step reveals something new and unexpected.""",T2,T2-weighted MRI,Abdomen,MRI,Modality,0.8720163,0.44387868,0.39129525,0.07161264,3
/content/qwen7b_oneword_severely_inaccurate_test.csv,310,xmlab15/source.jpg,Is the spleen healthy?,"""CT scan of the abdomen showing a diseased spleen with multiple visible abnormalities.""",Yes,"No, it's not healthy.",Abdomen,MRI,Abnormality,0.8349793,0.12442571,0.0043846383,0.9607605,1
/content/qwen7b_oneword_original_test.csv,311,xmlab150/source.jpg,What modality is used to take this image?,"A chest X-ray image displaying the thoracic cavity, including the lungs, heart, and ribs.",X-Ray,X-ray,Lung,X-Ray,Modality,0.9325224,1.0000001,0.940446,0.017602349,6
/content/qwen7b_oneword_irrelevant_test.csv,316,xmlab150/source.jpg,Where is/are the abnormality located?,"A colorful bouquet of flowers sits on a table, their petals glowing under the soft light.",Center,Not applicable,Lung,X-Ray,Position,0.8601318,0.1916934,0.08930723,0.66518295,3
/content/qwen7b_oneword_inaccurate_test.csv,317,xmlab150/source.jpg,"Which organ is abnormal, heart or lung?","""The X-ray image shows an abnormality in the lung, with clear visualization of the cardiac structures and surrounding tissues.""",Heart,Lung,Lung,X-Ray,Abnormality,0.99955714,0.38710675,0.16895449,0.7624222,2
